ID,Site,Context,Country,Longitude,Latitude,Condition,ATU,ATU2,NAT,Reference(s),Site Type,Dating Method,Event (Rasmussen et al. 2014),Method,AGE,STD (±),ID,AGE,STD (±),ID,Chronozone (Relative),Relative Date (method),ABP Association,Burinated,Redesignated? (Y/N/U),Tephra Association,File Type (2D/3D),Scale (Y/N),Out,Ldk,Holo,FN,Additional Information
22,Borovka,Borovka,Belarus,30.26,53.51,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Bor.1,Kopytin classifies Borovka as Grensk site and dates to Final Palaeolithic-Early Mesolithic
23,Borovka,Borovka,Belarus,30.26,53.51,Whole,Tanged Point Technocomplex,Grensk,Ahrensburgian Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Bor.3,Kopytin classifies Borovka as Grensk site and dates to Final Palaeolithic-Early Mesolithic
24,Borovka,Borovka,Belarus,30.26,53.51,Whole,Tanged Point Technocomplex,Grensk,Ahrensburgian Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Bor.4,Kopytin classifies Borovka as Grensk site and dates to Final Palaeolithic-Early Mesolithic
25,Borovka,Borovka,Belarus,30.26,53.51,Whole,Tanged Point Technocomplex,Grensk,Ahrensburgian Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Bor.5,Kopytin classifies Borovka as Grensk site and dates to Final Palaeolithic-Early Mesolithic
26,Borovka,Borovka,Belarus,30.26,53.51,Whole,Tanged Point Technocomplex,Grensk,Ahrensburgian Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Bor.6,Kopytin classifies Borovka as Grensk site and dates to Final Palaeolithic-Early Mesolithic
27,Borovka,Borovka,Belarus,30.26,53.51,Whole,Tanged Point Technocomplex,Grensk,Ahrensburgian Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Bor.7,Kopytin classifies Borovka as Grensk site and dates to Final Palaeolithic-Early Mesolithic
28,Borovka,Borovka,Belarus,30.26,53.51,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Bor.9,Kopytin classifies Borovka as Grensk site and dates to Final Palaeolithic-Early Mesolithic
29,Borovka,Borovka,Belarus,30.26,53.51,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Bor.10,Kopytin classifies Borovka as Grensk site and dates to Final Palaeolithic-Early Mesolithic
30,Borovka,Borovka,Belarus,30.26,53.51,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Bor.11,Kopytin classifies Borovka as Grensk site and dates to Final Palaeolithic-Early Mesolithic
31,Borovka,Borovka,Belarus,30.26,53.51,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Bor.12,Kopytin classifies Borovka as Grensk site and dates to Final Palaeolithic-Early Mesolithic
