ID,Site,Context,Country,Longitude,Latitude,Condition,ATU,ATU2,NAT,Reference(s),Site Type,Dating Method,Event (Rasmussen et al. 2014),Method,AGE,STD (±),ID,AGE,STD (±),ID,Chronozone (Relative),Relative Date (method),ABP Association,Burinated,Redesignated? (Y/N/U),Tephra Association,File Type (2D/3D),Scale (Y/N),Out,Ldk,Holo,FN,Additional Information
91,Duba,Duba,Lithuania,24.69,54.02,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1971,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Dub.3,
92,Duba,Duba,Lithuania,24.69,54.02,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1971,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Dub.4,
93,Dziewule-Piaski,Dziewule-Piaski (8),Poland,22.4,52.05,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Szymczak 1995,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Dz-P8.1,
94,Eggstedt,Eggstedt,Germany,9.27,54.06,Whole,Ahrensburgian,Eggstedt-Stellmoor,Lyngby Point,Taute 1968,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y ,X,,,Egg.1,
95,Elemly Sø,Elemly Sø (HBV 187),Denmark,9.27,55.48,Whole,Bromme,Bromme (Western Europe),Bromme Point,Riede et al. 2011,Surface Collection,Relative,,,,,,,,,Early Allerod,Typology,Y,N,N,N,2D,Y,X,,,HBV187.1,
96,Ellensbanke,Ellensbanke,Denmark,11.79,55.05,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Excavation,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Ellensbanke_1,"""Appears to be the northern most part of a larger settlement of which the larger part has has been removed by erosion, compared to other finds from the surrounding area the points from Ellensbanke have had the bulb removed""."
97,Ellensbanke,Ellensbanke,Denmark,11.79,55.05,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Excavation,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Ellensbanke_3,"""Appears to be the northern most part of a larger settlement of which the larger part has has been removed by erosion, compared to other finds from the surrounding area the points from Ellensbanke have had the bulb removed""."
98,Ellensbanke,Ellensbanke,Denmark,11.79,55.05,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Excavation,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Ellensbanke_4,"""Appears to be the northern most part of a larger settlement of which the larger part has has been removed by erosion, compared to other finds from the surrounding area the points from Ellensbanke have had the bulb removed""."
99,Eskebjerg,Eskebjerg,Denmark,11.7,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Eskebjerg_1_1,
100,Eskebjerg,Eskebjerg,Denmark,11.7,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Eskebjerg_1_2,
101,Eskebjerg,Eskebjerg,Denmark,11.7,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Eskebjerg_1_3,
102,Eskebjerg,Eskebjerg,Denmark,11.7,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Eskebjerg_1_4,
103,Eskebjerg,Eskebjerg,Denmark,11.7,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Eskebjerg_1_5,
104,Eskebjerg,Eskebjerg,Denmark,11.7,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Eskebjerg_2_2,
105,Eskebjerg,Eskebjerg,Denmark,11.7,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Eskebjerg_2_3,
106,Eskebjerg,Eskebjerg,Denmark,11.7,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Eskebjerg_2_4,
107,Eskebjerg,Eskebjerg,Denmark,11.7,55.06,Whole,Ahrensburgian,Unspecified,Tanged Point (Unspecified),Fugl Petersen 2011,Excavation,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Eskebjerg_3_1,
108,Eskebjerg,Eskebjerg,Denmark,11.7,55.06,Whole,Ahrensburgian,Unspecified,Tanged Point (Unspecified),Fugl Petersen 2011,Excavation,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Eskebjerg_3_4,
109,Eskebjerg Vest,Eskebjerg Vest,Denmark,11.7,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Eskebjerg_Vest_1_1,
110,Eskebjerg Vest,Eskebjerg Vest,Denmark,11.7,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Eskebjerg_Vest_1_4,
111,Eskebjerg Vest,Eskebjerg Vest,Denmark,11.7,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Eskebjerg_Vest_2_1,
112,Eskebjerg Vest,Eskebjerg Vest,Denmark,11.7,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Eskebjerg_Vest_2_2,
113,Estrup,Estrup,Germany,9.54,54.72,Whole,Lyngby,Segebro-Bromme,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Est.1,
114,Ežerynas,Ežerynas (9),Lithuania,23.98,54.2,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Bromme Point,"Šatavičius 2001, 2004",Excavation,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Eze9.1,
115,Ežerynas,Ežerynas (16),Lithuania,23.98,54.2,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Bromme Point,"Šatavičius 2001, 2004",Excavation,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Eze16.1,
116,Ežerynas,Ežerynas (15),Lithuania,23.98,54.2,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Bromme Point,"Šatavičius 2001, 2004",Excavation,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Eze15.1,
117,Ežerynas,Ežerynas (17),Lithuania,23.98,54.2,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Bromme Point,"Šatavičius 2001, 2004",Excavation,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Eze17.1,
118,Ežerynas,Ežerynas (17),Lithuania,23.98,54.2,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Bromme Point,"Šatavičius 2001, 2004",Excavation,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Eze17.2,Tanged point features continuous lateral retouch
119,Ežerynas,Ežerynas (8),Lithuania,23.98,54.2,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1996,Excavation,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Eze.8.1,
120,Ežerynas,Ežerynas (8),Lithuania,23.98,54.2,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1996,Excavation,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Eze.8.2,
121,Farendløse,Farendløse,Denmark,11.33,55.39,Whole,Lyngby,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Far.1,
122,Fjellerup,Fjellerup,Denmark,10.57,56.5,Whole,Lyngby,Segebro-Bromme,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Fje.1,
123,Fjellerup,Fjellerup,Denmark,10.57,56.5,Whole,Lyngby,Segebro-Bromme,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-Younger Dryas,Typology,N,Y,N,N,2D,Y,X,,,Fje.2,
124,Fjellerup,Fjellerup,Denmark,10.57,56.5,Whole,Lyngby,Segebro-Bromme,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Fje.4,
125,Flade,Flade,Denmark,10.5,57.45,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y ,X,,,Fla.1,
126,Frydslund ,Frydslund ,Denmark,9.96,57.46,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y ,X,,,Fryd.1,
127,Geldrop,Geldrop (3-1),The Netherlands,5.53,51.36,Whole,Ahrensburgian,Unspecified,Ahrensburgian Point,Rozoy 1978; Deeben 1988; Deeben et al. 2000; Crombé et al. 2010;  Deeben and Schreurs 2012,Excavation,Absolute,,AMS,9970,60,GrA-15182,,,,Unspecified,Unspecified,Y,N,U,N,2D,N,X,,,Geldrop_3_2_1,"Material from Geldrop III-1, sometimes known as Geldrop III-2"
128,Geldrop,Geldrop (3-1),The Netherlands,5.53,51.36,Whole,Ahrensburgian,Unspecified,Ahrensburgian Point,Rozoy 1978; Deeben 1988; Deeben et al. 2000; Crombé et al. 2010;  Deeben and Schreurs 2012,Excavation,Absolute,,AMS,9970,60,GrA-15182,,,,Unspecified,Unspecified,Y,N,U,N,2D,N,X,,,Geldrop_3_2_4,"Material from Geldrop III-1, sometimes known as Geldrop III-2"
129,Geldrop,Geldrop (3-1),The Netherlands,5.53,51.36,Whole,Ahrensburgian,Unspecified,Ahrensburgian Point,Rozoy 1978; Deeben 1988; Deeben et al. 2000; Crombé et al. 2010;  Deeben and Schreurs 2012,Excavation,Absolute,,AMS,9970,60,GrA-15182,,,,Unspecified,Unspecified,Y,N,U,N,2D,N,X,,,Geldrop_3_2_5,"Material from Geldrop III-1, sometimes known as Geldrop III-2"
130,Geldrop,Geldrop (3-1),The Netherlands,5.53,51.36,Whole,Ahrensburgian,Unspecified,Ahrensburgian Point,Rozoy 1978; Deeben 1988; Deeben et al. 2000; Crombé et al. 2010;  Deeben and Schreurs 2012,Excavation,Absolute,,AMS,9970,60,GrA-15182,,,,Unspecified,Unspecified,Y,N,U,N,2D,N,X,,,Geldrop_3_2_6,"Material from Geldrop III-1, sometimes known as Geldrop III-2"
131,Glasewitz,Glasewitz,Germany,12.28,53.82,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Gla.1,
132,Gludsted,Gludsted,Denmark,9.31,56.03,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Glud.1,
133,Glūkas,Glūkas (4),Lithuania,24.56,54.29,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Bromme Point,"Šatavičius 2001, 2004",Surface Collection,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Glu4.1,
134,Glyno Pelkė,Glyno Pelkė (6),Lithuania,24.29,54.16,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1996; Šatavičius 2001,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Gly.pel6.1,
135,Golßen,Golßen,Germany,13.63,51.96,Whole,Federmesser,Unspecified,Tanged Point (Unspecified),Marschallek 1944; Taute 1963; Gramsch 1969; Geupel 1987; Gramsch 1988; Winkler 2010,Excavation,Relative,,,,,,,,,Middle-Late Allerod,Typology/Stratigraphy,Y,N,N,N,2D,Y,X,,,Golben_14,
136,Golßen,Golßen,Germany,13.63,51.96,Whole,Federmesser,Unspecified,Tanged Point (Unspecified),Marschallek 1944; Taute 1963; Gramsch 1969; Geupel 1987; Gramsch 1988; Winkler 2010,Excavation,Relative,,,,,,,,,Middle-Late Allerod,Typology/Stratigraphy,Y,N,N,N,2D,Y,X,,,Golben_15,
137,Golßen,Golßen,Germany,13.63,51.96,Whole,Federmesser,Unspecified,Tanged Point (Unspecified),Marschallek 1944; Taute 1963; Gramsch 1969; Geupel 1987; Gramsch 1988; Winkler 2010,Excavation,Relative,,,,,,,,,Middle-Late Allerod,Typology/Stratigraphy,Y,N,N,N,2D,Y,X,,,Golben_16,
138,Golßen,Golßen,Germany,13.63,51.96,Whole,Federmesser,Unspecified,Tanged Point (Unspecified),Marschallek 1944; Taute 1963; Gramsch 1969; Geupel 1987; Gramsch 1988; Winkler 2010,Excavation,Relative,,,,,,,,,Middle-Late Allerod,Typology/Stratigraphy,Y,N,N,N,2D,Y,X,,,Golben_18,
139,Gramsbergen,Gramsbergen,The Netherlands,6.67,52.61,Whole,Epi-Ahrensburgian,Unspecified,Tanged Point (Unspecified),Wouters 1990; Johansen and Stapert 1997,Surface Collection,Relative,,,,,,,,,Unspecified,Unspecified,N,N,N,N,2D,N,X,,,Gramsbergen_1,
140,Grensk,Grensk,Belarus,30.9,53.02,Whole,Tanged Point Technocomplex,Grensk,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas-Early Holocene,Typology,N,N,N,N,2D,Y,X,,,Gre.1,Kopytin classifies Grensk as Grensk site and dates to Early Mesolithic
141,Grensk,Grensk,Belarus,30.9,53.02,Whole,Tanged Point Technocomplex,Grensk,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas-Early Holocene,Typology,N,N,N,N,2D,Y,X,,,Gre.2,Kopytin classifies Grensk as Grensk site and dates to Early Mesolithic
142,Grensk,Grensk,Belarus,30.9,53.02,Whole,Tanged Point Technocomplex,Grensk,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas-Early Holocene,Typology,N,N,N,N,2D,Y,X,,,Gre.3,Kopytin classifies Grensk as Grensk site and dates to Early Mesolithic
143,Grensk,Grensk,Belarus,30.9,53.02,Whole,Tanged Point Technocomplex,Grensk,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas-Early Holocene,Typology,N,N,N,N,2D,Y,X,,,Gre.4,Kopytin classifies Grensk as Grensk site and dates to Early Mesolithic
144,Grensk,Grensk,Belarus,30.9,53.02,Whole,Tanged Point Technocomplex,Grensk,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas-Early Holocene,Typology,N,N,N,N,2D,Y,X,,,Gre.5,Kopytin classifies Grensk as Grensk site and dates to Early Mesolithic
145,Grensk,Grensk,Belarus,30.9,53.02,Whole,Tanged Point Technocomplex,Grensk,Krasnosillya Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas-Early Holocene,Typology,N,N,N,N,2D,Y,X,,,Gre.6,Kopytin classifies Grensk as Grensk site and dates to Early Mesolithic
146,Grensk,Grensk,Belarus,30.9,53.02,Whole,Tanged Point Technocomplex,Grensk,Krasnosillya Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas-Early Holocene,Typology,N,N,N,N,2D,Y,X,,,Gre.7,Kopytin classifies Grensk as Grensk site and dates to Early Mesolithic
147,Grensk,Grensk,Belarus,30.9,53.02,Whole,Tanged Point Technocomplex,Grensk,Krasnosillya Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas-Early Holocene,Typology,N,Y,N,N,2D,Y,X,,,Gre.8,Kopytin classifies Grensk as Grensk site and dates to Early Mesolithic
148,Grensk,Grensk,Belarus,30.9,53.02,Whole,Tanged Point Technocomplex,Grensk,Krasnosillya Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas-Early Holocene,Typology,N,Y,N,N,2D,Y,X,,,Gre.9,Kopytin classifies Grensk as Grensk site and dates to Early Mesolithic
149,Grensk,Grensk,Belarus,30.9,53.02,Whole,Tanged Point Technocomplex,Grensk,Altinovo Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas-Early Holocene,Typology,N,N,N,N,2D,Y,X,,,Gre.10,Kopytin classifies Grensk as Grensk site and dates to Early Mesolithic
150,Grensk,Grensk,Belarus,30.9,53.02,Whole,Tanged Point Technocomplex,Grensk,Altinovo Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas-Early Holocene,Typology,N,N,N,N,2D,Y,X,,,Gre.11,Kopytin classifies Grensk as Grensk site and dates to Early Mesolithic
151,Grensk,Grensk,Belarus,30.9,53.02,Whole,Tanged Point Technocomplex,Grensk,Altinovo Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas-Early Holocene,Typology,N,N,N,N,2D,Y,X,,,Gre.12,Kopytin classifies Grensk as Grensk site and dates to Early Mesolithic
152,Grensk,Grensk,Belarus,30.9,53.02,Whole,Tanged Point Technocomplex,Grensk,Grensk Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas-Early Holocene,Typology,N,N,N,N,2D,Y,X,,,Gre.13,Kopytin classifies Grensk as Grensk site and dates to Early Mesolithic
153,Grensk,Grensk,Belarus,30.9,53.02,Whole,Tanged Point Technocomplex,Grensk,Grensk Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas-Early Holocene,Typology,N,N,N,N,2D,Y,X,,,Gre.14,Kopytin classifies Grensk as Grensk site and dates to Early Mesolithic
154,Grensk,Grensk,Belarus,30.9,53.02,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas-Early Holocene,Typology,N,N,N,N,2D,Y,X,,,Gre.15,Kopytin classifies Grensk as Grensk site and dates to Early Mesolithic
155,Grensk,Grensk,Belarus,30.9,53.02,Whole,Tanged Point Technocomplex,Grensk,Grensk Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas-Early Holocene,Typology,N,N,N,N,2D,Y,X,,,Gre.16,Kopytin classifies Grensk as Grensk site and dates to Early Mesolithic
156,Grensk,Grensk,Belarus,30.9,53.02,Whole,Tanged Point Technocomplex,Grensk,Krasnosillya Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas-Early Holocene,Typology,N,N,N,N,2D,Y,X,,,Gre.17,Kopytin classifies Grensk as Grensk site and dates to Early Mesolithic
157,Grensk,Grensk,Belarus,30.9,53.02,Whole,Tanged Point Technocomplex,Grensk,Krasnosillya Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas-Early Holocene,Typology,N,N,N,N,2D,Y,X,,,Gre.18,Kopytin classifies Grensk as Grensk site and dates to Early Mesolithic
158,Grensk,Grensk,Belarus,30.9,53.02,Whole,Tanged Point Technocomplex,Grensk,Grensk Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas-Early Holocene,Typology,N,N,N,N,2D,Y,X,,,Gre.19,Kopytin classifies Grensk as Grensk site and dates to Early Mesolithic
159,Grenzin-Neumühl,Grenzin-Neumühl,Germany,13.07,54.31,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Gren.1,
160,Gribaša,Gribaša,Lithuania,24.73,54.04,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Bromme Point,"Šatavičius 2001, 2004",Surface Collection,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Gri.1,
161,Gribaša,Gribaša,Lithuania,24.73,54.04,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1971,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Gri.2,
162,Gribaša,Gribaša,Lithuania,24.73,54.04,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1971,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Gri.3,
163,Gribaša,Gribaša,Lithuania,24.73,54.04,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1971,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Gri.4,
164,Häcklingen,Häcklingen (FStNr. 19),Germany,10.41,53.2,Whole,Federmesser,Unspecified,Ahrensburgian Point,Richter 2002,Excavation,Relative,,,,,,,,,Bolling-Allerod,Typology,Y,N,N,N,2D,Y,X,,,Haecklingen_11,
165,Häcklingen,Häcklingen (FStNr. 19),Germany,10.41,53.2,Whole,Federmesser,Unspecified,Chwalibogowice Point,Richter 2002,Excavation,Relative,,,,,,,,,Bolling-Allerod,Typology,Y,N,N,N,2D,Y,X,,,Haecklingen_12,
166,Häcklingen,Häcklingen (FStNr. 19),Germany,10.41,53.2,Whole,Federmesser,Unspecified,Tanged Point (Unspecified),Richter 2002,Excavation,Relative,,,,,,,,,Bolling-Allerod,Typology,Y,N,N,N,2D,Y,X,,,Haecklingen_14,
167,Hamdorf,Hamdorf,Germany,9.52,54.22,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Ham.1,
168,Hemmed,Hemmed,Denmark,10.74,56.5,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Hem.1,
169,Hengistbury Head,Hengistbury Head (1913),United Kingdom,1.76,50.72,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Mace 1959,Surface Collection,Relative,,,,,,,,,Allerod-Younger Dryas,Typology,Y,N,Y,N,2D,Y,X,,,Hengistbury_1_75,Stresses the assemblage as being an intermediary between the Hamburgian and Ahresnburgian (does not concluded much more)
170,Hengistbury Head,Hengistbury Head (1913),United Kingdom,1.76,50.72,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Mace 1959,Surface Collection,Relative,,,,,,,,,Allerod-Younger Dryas,Typology,Y,N,Y,N,2D,Y,X,,,Hengistbury_1_76,Stresses the assemblage as being an intermediary between the Hamburgian and Ahresnburgian (does not concluded much more)
171,Hengistbury Head,Hengistbury Head (1954),United Kingdom,1.76,50.72,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Mace 1959,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Typology,Y,N,Y,N,2D,Y,X,,,Hengistbury_2_19,Stresses the assemblage as being an intermediary between the Hamburgian and Ahresnburgian (does not concluded much more)
172,Hermannshof,Hermannshof,Germany,12.59,54.32,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Herm.1,
173,Hermannshof,Hermannshof,Germany,12.59,54.32,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Herm.2,
174,Hjarup Mose,Hjarup Mose,Denmark,9.34,55.18,Whole,Bromme,Bromme (Western Europe),Bromme Point,Andersen 1977,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Hja.Mo.1,
175,Hjarup Mose,Hjarup Mose,Denmark,9.34,55.18,Whole,Bromme,Bromme (Western Europe),Bromme Point,Andersen 1977,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Hja.Mo.2,
176,Hjarup Mose,Hjarup Mose,Denmark,9.34,55.18,Whole,Bromme,Bromme (Western Europe),Bromme Point,Andersen 1977,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Hja.Mo.4,
177,Hjarup Mose,Hjarup Mose,Denmark,9.34,55.18,Whole,Bromme,Bromme (Western Europe),Bromme Point,Andersen 1977,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Hja.Mo.5,
178,Højvælde,Højvælde,Denmark,9.98,57.47,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Hoj.1,
179,Højvælde,Højvælde,Denmark,9.98,57.47,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Hoj.2,
180,Horaymivka,Horaymivka,Ukraine,25.9,51.05,Whole,Tanged Point Technocomplex,Lyngby,Lyngby Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Hor.1,
181,Jerslev,Jerslev,Denmark,10.09,57.28,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y ,X,,,Jers.1,
182,Jørlunde Sø,Jørlunde Sø,Denmark,12.18,55.82,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Jorlunde_So_1_1,
183,Jørlunde Sø,Jørlunde Sø,Denmark,12.18,55.82,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Jorlunde_So_1_3,
